Token       void (  35,            0 )
Token     %ident (   4,         main )
Token          ( (   7,            0 )
Token          ) (   8,            0 )
Token          { (  37,            0 )
Token        int (  33,            0 )
Token     %ident (   4,         list )
Token          [ (  27,            0 )
Token    %number (   5,          100 )
Token          ; (  20,            0 )
Token        int (  33,            0 )
Token     %ident (   4,      element )
Token          ; (  20,            0 )
Token        int (  33,            0 )
Token     %ident (   4,        total )
Token          , (  14,            0 )
Token     %ident (   4,            i )
Token          , (  14,            0 )
Token     %ident (   4,          top )
Token          ; (  20,            0 )
Token        int (  33,            0 )
Token     %ident (   4,         temp )
Token          ; (  20,            0 )
Token     %ident (   4,            i )
Token          = (  23,            0 )
Token    %number (   5,            1 )
Token     %ident (   4,         read )
Token          ( (   7,            0 )
Token     %ident (   4,      element )
Token          ) (   8,            0 )
Token          ; (  20,            0 )
Token      while (  36,            0 )
Token          ( (   7,            0 )
Token     %ident (   4,      element )
Token         != (   1,            0 )
Token    %number (   5,            0 )
Token          { (  37,            0 )
Token linecomment (  53,  read a list)
Token     %ident (   4,         list )
Token          [ (  27,            0 )
Token     %ident (   4,            i )
Token          ] (  28,            0 )
Token          = (  23,            0 )
Token     %ident (   4,      element )
Token          ; (  20,            0 )
Token         ++ (  12,            0 )
Token     %ident (   4,            i )
Token          ; (  20,            0 )
Token     %ident (   4,         read )
Token          ( (   7,            0 )
Token     %ident (   4,      element )
Token          ) (   8,            0 )
Token          ; (  20,            0 )
Token          } (  39,            0 )
Token     %ident (   4,          top )
Token          = (  23,            0 )
Token     %ident (   4,        total )
Token          = (  23,            0 )
Token     %ident (   4,            i )
Token          - (  15,            0 )
Token    %number (   5,            1 )
Token      while (  36,            0 )
Token          ( (   7,            0 )
Token     %ident (   4,          top )
Token          > (  25,            0 )
Token    %number (   5,            1 )
Token          { (  37,            0 )
Token linecomment (  53,  sorting the list)
Token     %ident (   4,            i )
Token          = (  23,            0 )
Token    %number (   5,            1 )
Token      while (  36,            0 )
Token          ( (   7,            0 )
Token     %ident (   4,            i )
Token          < (  21,            0 )
Token     %ident (   4,          top )
Token          ) (   8,            0 )
Token          { (  37,            0 )
Token         if (  32,            0 )
Token          ( (   7,            0 )
Token     %ident (   4,         list )
Token          [ (  27,            0 )
Token     %ident (   4,            i )
Token          ] (  28,            0 )
Token          > (  25,            0 )
Token     %ident (   4,         list )
Token          [ (  27,            0 )
Token     %ident (   4,            i )
Token          + (  11,            0 )
Token    %number (   5,            1 )
Token          ) (   8,            0 )
Token          { (  37,            0 )
Token     %ident (   4,         temp )
Token          = (  23,            0 )
Token     %ident (   4,         list )
Token          [ (  27,            0 )
Token     %ident (   4,            i )
Token          ] (  28,            0 )
Token          ; (  20,            0 )
Token     %ident (   4,         list )
Token          [ (  27,            0 )
Token     %ident (   4,            i )
Token          ] (  28,            0 )
Token          = (  23,            0 )
Token     %ident (   4,         list )
Token          [ (  27,            0 )
Token     %ident (   4,            i )
Token          + (  11,            0 )
Token    %number (   5,            1 )
Token          ; (  20,            0 )
Token     %ident (   4,         list )
Token          [ (  27,            0 )
Token     %ident (   4,            i )
Token          + (  11,            0 )
Token    %number (   5,            1 )
Token          = (  23,            0 )
Token     %ident (   4,         temp )
Token          ; (  20,            0 )
Token          } (  39,            0 )
Token         ++ (  12,            0 )
Token     %ident (   4,            i )
Token          ; (  20,            0 )
Token          } (  39,            0 )
Token     %ident (   4,          top )
Token         -- (  16,            0 )
Token          ; (  20,            0 )
Token          } (  39,            0 )
Token     %ident (   4,            i )
Token          = (  23,            0 )
Token    %number (   5,            1 )
Token      while (  36,            0 )
Token          ( (   7,            0 )
Token     %ident (   4,            i )
Token         <= (  22,            0 )
Token     %ident (   4,        total )
Token          ) (   8,            0 )
Token          { (  37,            0 )
Token linecomment (  53,  print the sorted list)
Token     %ident (   4,        write )
Token          ( (   7,            0 )
Token     %ident (   4,         list )
Token          [ (  27,            0 )
Token     %ident (   4,            i )
Token          ] (  28,            0 )
Token          ) (   8,            0 )
Token          ; (  20,            0 )
Token         ++ (  12,            0 )
Token     %ident (   4,            i )
Token          ; (  20,            0 )
Token          } (  39,            0 )
Token          } (  39,            0 )
Token        eof (  29,            0 )
