Token multilinecomment (  55, \n    Mini C has two types of comments: text comment and line comment.\n)
Token       void (  35,            0 )
Token     %ident (   4,         main )
Token          ( (   7,            0 )
Token          ) (   8,            0 )
Token          { (  37,            0 )
Token        int (  33,            0 )
Token     %ident (   4,            i )
Token          ; (  20,            0 )
Token     %ident (   4,            i )
Token          = (  23,            0 )
Token    %number (   5,          100 )
Token linecomment (  53,  i sets 100)
Token     %ident (   4,        write )
Token          ( (   7,            0 )
Token     %ident (   4,            i )
Token          ) (   8,            0 )
Token          ; (  20,            0 )
Token linecomment (  53,  printf it0)
Token          } (  39,            0 )
Token        eof (  29,            0 )
