Token multilinecomment (  55, \n      ext.mc: test the external variable\n)
Token        int (  33,            0 )
Token     %ident (   4,            x )
Token          ; (  20,            0 )
Token       void (  35,            0 )
Token     %ident (   4,         main )
Token          ( (   7,            0 )
Token          ) (   8,            0 )
Token          { (  37,            0 )
Token     %ident (   4,         func )
Token          ( (   7,            0 )
Token          ) (   8,            0 )
Token          ; (  20,            0 )
Token     %ident (   4,        write )
Token          ( (   7,            0 )
Token     %ident (   4,            x )
Token          ) (   8,            0 )
Token          ; (  20,            0 )
Token          } (  39,            0 )
Token       void (  35,            0 )
Token     %ident (   4,         func )
Token          ( (   7,            0 )
Token          ) (   8,            0 )
Token          { (  37,            0 )
Token     %ident (   4,            x )
Token          = (  23,            0 )
Token    %number (   5,          100 )
Token          } (  39,            0 )
Token        eof (  29,            0 )
