Token multilinecomment (  55,  \n   factorial program by recursive call\n)
Token       void (  35,            0 )
Token     %ident (   4,         main )
Token          ( (   7,            0 )
Token          ) (   8,            0 )
Token          { (  37,            0 )
Token        int (  33,            0 )
Token     %ident (   4,            n )
Token          , (  14,            0 )
Token     %ident (   4,            f )
Token          ; (  20,            0 )
Token     %ident (   4,         read )
Token          ( (   7,            0 )
Token     %ident (   4,            n )
Token          ) (   8,            0 )
Token          ; (  20,            0 )
Token     %ident (   4,        write )
Token          ( (   7,            0 )
Token     %ident (   4,            n )
Token          ) (   8,            0 )
Token          ; (  20,            0 )
Token     %ident (   4,            f )
Token          = (  23,            0 )
Token     %ident (   4,    factorial )
Token          ( (   7,            0 )
Token     %ident (   4,            n )
Token          ) (   8,            0 )
Token          ; (  20,            0 )
Token     %ident (   4,        write )
Token          ( (   7,            0 )
Token     %ident (   4,            f )
Token          ) (   8,            0 )
Token          ; (  20,            0 )
Token          } (  39,            0 )
Token        int (  33,            0 )
Token     %ident (   4,    factorial )
Token          ( (   7,            0 )
Token        int (  33,            0 )
Token     %ident (   4,            n )
Token          ) (   8,            0 )
Token          { (  37,            0 )
Token         if (  32,            0 )
Token          ( (   7,            0 )
Token     %ident (   4,            n )
Token         == (  24,            0 )
Token    %number (   5,            1 )
Token     return (  34,            0 )
Token    %number (   5,            1 )
Token       else (  31,            0 )
Token     return (  34,            0 )
Token     %ident (   4,            n )
Token          * (   9,            0 )
Token     %ident (   4,    factorial )
Token          ( (   7,            0 )
Token     %ident (   4,            n )
Token          - (  15,            0 )
Token    %number (   5,            1 )
Token          ; (  20,            0 )
Token          } (  39,            0 )
Token        eof (  29,            0 )
