Token       void (  35,            0 )
Token     %ident (   4,         main )
Token          ( (   7,            0 )
Token          ) (   8,            0 )
Token          { (  37,            0 )
Token        int (  33,            0 )
Token     %ident (   4,            x )
Token          ; (  20,            0 )
Token     %ident (   4,            x )
Token          = (  23,            0 )
Token    %number (   5,          333 )
Token     %ident (   4,            x )
Token         ++ (  12,            0 )
Token          ; (  20,            0 )
Token     %ident (   4,        write )
Token          ( (   7,            0 )
Token     %ident (   4,            x )
Token          ) (   8,            0 )
Token          ; (  20,            0 )
Token     %ident (   4,            x )
Token         %= (   3,            0 )
Token    %number (   5,           10 )
Token     %ident (   4,        write )
Token          ( (   7,            0 )
Token     %ident (   4,            x )
Token          ) (   8,            0 )
Token          ; (  20,            0 )
Token          } (  39,            0 )
Token        eof (  29,            0 )
