Token multilinecomment (  55,  \n	return value exist\n)
Token        int (  33,            0 )
Token     %ident (   4,          sum )
Token          ( (   7,            0 )
Token        int (  33,            0 )
Token     %ident (   4,            n )
Token          , (  14,            0 )
Token        int (  33,            0 )
Token     %ident (   4,            m )
Token          ) (   8,            0 )
Token          { (  37,            0 )
Token        int (  33,            0 )
Token     %ident (   4,            i )
Token          ; (  20,            0 )
Token     %ident (   4,            i )
Token          = (  23,            0 )
Token     %ident (   4,            n )
Token          + (  11,            0 )
Token     %ident (   4,            m )
Token          ; (  20,            0 )
Token     return (  34,            0 )
Token     %ident (   4,            i )
Token          ; (  20,            0 )
Token          } (  39,            0 )
Token       void (  35,            0 )
Token     %ident (   4,         main )
Token          ( (   7,            0 )
Token          ) (   8,            0 )
Token          { (  37,            0 )
Token        int (  33,            0 )
Token     %ident (   4,            x )
Token          ; (  20,            0 )
Token     %ident (   4,            x )
Token          = (  23,            0 )
Token     %ident (   4,          sum )
Token          ( (   7,            0 )
Token    %number (   5,           10 )
Token    %number (   5,           20 )
Token          ; (  20,            0 )
Token     %ident (   4,        write )
Token          ( (   7,            0 )
Token     %ident (   4,            x )
Token          ) (   8,            0 )
Token          ; (  20,            0 )
Token          } (  39,            0 )
Token        eof (  29,            0 )
